cell_id,dataset,celltype,leiden,leiden_named,n_proteins_identified,intensity_max,intensity_min_detected,intensity_median,dynamic_range_log10
[575] DCT_1cell_WISHDIA_P2_0200.htrms.PG.Quantity,dct758,ProLIF,29,ProLIF,876,29891.78515625,39.106727600097656,176.23960876464844,2.8833003758766007
[675] DCT_1cell_WISHDIA_P2_0300.htrms.PG.Quantity,dct758,DCT1,19,DCT1,559,23559.162109375,59.34989929199219,240.49456787109375,2.5987398541824325
[384] DCT_1cell_WISHDIA_P2_0009.htrms.PG.Quantity,dct758,DCT2,27,DCT1,811,43293.265625,43.55631637573242,172.05624389648438,2.9973692023332275
[208] DCT_1cell_WISHDIA_P1_0212.htrms.PG.Quantity,dct758,DCT1,6,DCT1,416,30084.505859375,64.19047546386719,274.91770935058594,2.670872290012271
[473] DCT_1cell_WISHDIA_P2_0098.htrms.PG.Quantity,dct758,ProLIF,26,DCT1,968,31298.716796875,32.15843200683594,148.3115234375,2.9882316673561826
[525] DCT_1cell_WISHDIA_P2_0150.htrms.PG.Quantity,dct758,DCT2,15,DCT1,456,43535.1640625,49.39622497558594,276.03297424316406,2.945146425481997
[412] DCT_1cell_WISHDIA_P2_0037.htrms.PG.Quantity,dct758,ProLIF,22,ProLIF,763,42464.59375,44.54994201660156,166.7122344970703,2.979179830512107
[522] DCT_1cell_WISHDIA_P2_0147.htrms.PG.Quantity,dct758,DCT1,14,DCT1,568,35443.48828125,61.884422302246094,235.2947235107422,2.757955116651361
[558] DCT_1cell_WISHDIA_P2_0183.htrms.PG.Quantity,dct758,DCT1,22,ProLIF,683,36434.0390625,50.18122482299805,196.98638916015625,2.8609660622526896
[622] DCT_1cell_WISHDIA_P2_0247.htrms.PG.Quantity,dct758,DCT1,12,DCT1,472,25384.697265625,57.36453628540039,267.1744384765625,2.6459285011836684
[726] DCT_1cell_WISHDIA_P2_0351.htrms.PG.Quantity,dct758,DCT2,7,DCT2,827,39304.61328125,39.767635345458984,162.98471069335938,2.994913759772989
[654] DCT_1cell_WISHDIA_P2_0279.htrms.PG.Quantity,dct758,DCT1,3,DCT1,295,43800.125,84.4168930053711,348.7080078125,2.7150459861819667
[707] DCT_1cell_WISHDIA_P2_0332.htrms.PG.Quantity,dct758,DCT1,27,DCT1,806,34690.48046875,41.97450256347656,187.55841064453125,2.917224756881451
[109] DCT_1cell_WISHDIA_P1_0113.htrms.PG.Quantity,dct758,ProLIF,8,ProLIF,902,23413.509765625,41.7050895690918,190.47393035888672,2.7492774625563103
[111] DCT_1cell_WISHDIA_P1_0115.htrms.PG.Quantity,dct758,ProLIF,8,ProLIF,847,32206.609375,40.44987487792969,176.473876953125,2.9010278233104665
[692] DCT_1cell_WISHDIA_P2_0317.htrms.PG.Quantity,dct758,DCT2,28,ProLIF,931,19913.294921875,37.78574752807617,171.2406005859375,2.7218151073915653
[396] DCT_1cell_WISHDIA_P2_0021.htrms.PG.Quantity,dct758,DCT1,4,DCT1,151,52470.8828125,87.28898620605469,494.083984375,2.778958921652678
[413] DCT_1cell_WISHDIA_P2_0038.htrms.PG.Quantity,dct758,DCT2,14,DCT1,464,27352.0,56.19567108154297,241.71540069580078,2.6872862259171386
[417] DCT_1cell_WISHDIA_P2_0042.htrms.PG.Quantity,dct758,DCT1,26,DCT1,799,28527.9453125,40.74872589111328,153.70008850097656,2.8451564592924266
[123] DCT_1cell_WISHDIA_P1_0127.htrms.PG.Quantity,dct758,DCT2,9,ProLIF,815,20201.369140625,46.01413345336914,195.4070281982422,2.6424895568725484
[640] DCT_1cell_WISHDIA_P2_0265.htrms.PG.Quantity,dct758,DCT1,5,DCT1,415,27850.072265625,52.7551155090332,269.9459533691406,2.7225617481470543
[127] DCT_1cell_WISHDIA_P1_0131.htrms.PG.Quantity,dct758,ProLIF,10,ProLIF,727,21609.85546875,47.48036575317383,192.17486572265625,2.6581378064654557
[286] DCT_1cell_WISHDIA_P1_0290.htrms.PG.Quantity,dct758,DCT2,12,DCT1,483,29105.39453125,59.16441345214844,252.08949279785156,2.6919129272989193
[748] DCT_1cell_WISHDIA_P2_0373.htrms.PG.Quantity,dct758,DCT2,24,DCT2,432,30426.099609375,97.0026626586914,406.0490417480469,2.4964626272079045
[605] DCT_1cell_WISHDIA_P2_0230.htrms.PG.Quantity,dct758,DCT2,6,DCT1,595,22049.68359375,53.05215835571289,251.5255584716797,2.6186993045712113
[205] DCT_1cell_WISHDIA_P1_0209.htrms.PG.Quantity,dct758,DCT2,22,ProLIF,651,21490.111328125,54.77213668823242,211.07119750976562,2.593678982029101
[122] DCT_1cell_WISHDIA_P1_0126.htrms.PG.Quantity,dct758,ProLIF,16,DCT2,1045,28903.67578125,34.601375579833984,149.03399658203125,2.9218597124725783
[195] DCT_1cell_WISHDIA_P1_0199.htrms.PG.Quantity,dct758,DCT1,17,DCT1,658,21270.748046875,47.91233825683594,208.57081604003906,2.647335397215332
[754] DCT_1cell_WISHDIA_P2_0379.htrms.PG.Quantity,dct758,DCT1,7,DCT2,747,30643.67578125,46.70322036743164,190.12252807617188,2.816994030853021
[744] DCT_1cell_WISHDIA_P2_0369.htrms.PG.Quantity,dct758,DCT2,6,DCT1,591,24676.79296875,58.958927154541016,231.92788696289062,2.621739145209295
[341] DCT_1cell_WISHDIA_P1_0345.htrms.PG.Quantity,dct758,DCT2,22,ProLIF,598,21846.947265625,56.342613220214844,232.93441772460938,2.588553774297653
